sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
6646;SDS011;3359;49.199;8.360;2019-01-01T00:00:01;246.15;;;97.50;;
14592;SDS011;7383;52.355;9.756;2019-01-01T00:00:01;25.70;;;23.03;;
11283;SDS011;5698;47.332;11.179;2019-01-01T00:00:01;2.90;;;2.60;;
8747;SDS011;4410;42.120;24.738;2019-01-01T00:00:01;33.23;;;21.90;;
1997;SDS011;1000;48.778;9.131;2019-01-01T00:00:01;340.40;;;204.40;;
1358;SDS011;673;48.097;14.423;2019-01-01T00:00:01;34.45;;;26.57;;
3941;SDS011;1985;48.593;8.851;2019-01-01T00:00:01;410.95;;;232.98;;
1755;SDS011;875;51.838;8.170;2019-01-01T00:00:01;47.60;;;26.33;;
18296;SDS011;9274;52.127;5.573;2019-01-01T00:00:01;483.20;;;295.77;;
8268;SDS011;4174;48.303;16.365;2019-01-01T00:00:01;48.93;;;24.37;;
17818;SDS011;9034;50.285;19.310;2019-01-01T00:00:01;57.23;;;26.77;;
8421;SDS011;4248;48.196;10.923;2019-01-01T00:00:01;61.20;;;33.00;;
3081;SDS011;1551;51.046;7.009;2019-01-01T00:00:01;70.87;;;64.27;;
10461;SDS011;5278;42.656;23.373;2019-01-01T00:00:01;75.03;;;44.83;;
17832;SDS011;9041;49.719;21.797;2019-01-01T00:00:01;76.60;;;29.50;;
19418;SDS011;9845;50.819;4.299;2019-01-01T00:00:01;8.40;;;6.20;;
18649;SDS011;9454;53.516;10.478;2019-01-01T00:00:01;85.83;;;46.60;;
7989;SDS011;4040;42.848;23.034;2019-01-01T00:00:01;94.63;;;43.17;;
143;SDS011;69;48.783;9.192;2019-01-01T00:00:01;960.37;;;436.23;;
12585;SDS011;6358;50.760;0.281;2019-01-01T00:00:01;9.60;;;6.33;;
9396;SDS011;4738;44.485;11.254;2019-01-01T00:00:01;98.57;;;71.23;;
15502;SDS011;7853;52.186;5.949;2019-01-01T00:00:02;0.00;;;0.00;;
9838;SDS011;4958;48.150;11.506;2019-01-01T00:00:02;0.50;;;0.50;;
15177;SDS011;7689;53.613;-2.416;2019-01-01T00:00:02;10.17;;;4.47;;
10924;SDS011;5515;59.861;17.651;2019-01-01T00:00:02;10.97;;;4.03;;
5742;SDS011;2896;53.501;10.019;2019-01-01T00:00:02;117.53;;;67.60;;
10548;SDS011;5323;48.734;9.153;2019-01-01T00:00:02;121.47;;;87.00;;
5591;SDS011;2818;49.791;9.957;2019-01-01T00:00:02;128.77;;;68.40;;
783;SDS011;375;48.748;9.119;2019-01-01T00:00:02;1.3;;;1.3;;
2464;SDS011;1244;54.327;10.074;2019-01-01T00:00:02;13.23;;;9.30;;
5628;SDS011;2836;42.633;23.297;2019-01-01T00:00:02;132.97;;;60.63;;
18125;SDS011;9189;52.442;13.284;2019-01-01T00:00:02;134.13;;;83.63;;
12389;SDS011;6259;59.923;10.743;2019-01-01T00:00:02;13.80;;;8.70;;
3663;SDS011;1848;51.042;7.065;2019-01-01T00:00:02;142.70;;;108.10;;
18066;SDS011;9158;51.529;7.193;2019-01-01T00:00:02;154.70;;;131.20;;
5407;SDS011;2727;53.582;9.946;2019-01-01T00:00:02;15.70;;;12.52;;
17293;SDS011;8765;50.863;6.495;2019-01-01T00:00:02;15.93;;;11.73;;
1156;SDS011;567;51.809;8.423;2019-01-01T00:00:02;15.94;;;7.41;;
7001;SDS011;3541;53.231;10.519;2019-01-01T00:00:02;16.17;;;12.17;;
6157;SDS011;3110;49.752;8.484;2019-01-01T00:00:02;16.48;;;11.93;;
5537;SDS011;2791;51.777;8.820;2019-01-01T00:00:02;168.73;;;96.47;;
5787;SDS011;2920;48.159;12.255;2019-01-01T00:00:02;181.33;;;87.70;;
10703;SDS011;5403;41.731;13.142;2019-01-01T00:00:02;19.70;;;14.40;;
19701;SDS011;10001;49.116;7.811;2019-01-01T00:00:02;211.70;;;126.33;;
6390;SDS011;3228;42.672;23.324;2019-01-01T00:00:02;214.43;;;87.17;;
2291;SDS011;1154;42.663;23.273;2019-01-01T00:00:02;214.93;;;133.43;;
8921;SDS011;4496;49.006;8.383;2019-01-01T00:00:02;215.27;;;143.60;;
11789;SDS011;5952;48.714;8.742;2019-01-01T00:00:02;228.27;;;157.73;;
9407;SDS011;4743;53.896;11.466;2019-01-01T00:00:02;24.57;;;18.97;;
6731;SDS011;3403;42.675;23.256;2019-01-01T00:00:02;254.17;;;110.73;;
18714;SDS011;9486;51.971;5.905;2019-01-01T00:00:02;297.47;;;204.23;;
3453;SDS011;1741;51.293;8.609;2019-01-01T00:00:02;29.93;;;11.67;;
432;SDS011;203;48.729;9.119;2019-01-01T00:00:02;312.42;;;297.48;;
10120;SDS011;5100;45.176;5.713;2019-01-01T00:00:02;32.17;;;24.80;;
5493;SDS011;2769;49.865;8.657;2019-01-01T00:00:02;354.33;;;167.37;;
18681;SDS011;9471;51.169;4.155;2019-01-01T00:00:02;36.23;;;19.17;;
